"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          26,      -1.247419707,       1.156976385,       1.338943045,       1.419434533,       4.101911296,      -4.973724666,                         5,      -1.103003377,               5,      -2.744119723,       1064568.017,     0.03575743756,      0.3929535797,      0.1551042172,      0.6927762696,    -0.04441054415,    -0.02057513151,     0.02400615531,      0.1551042172,      0.3938461815,       10.98942224,   3.567283817e-05
          0,           0,          27,      -1.286741878,       1.123813879,       1.310819596,       1.404728088,       4.070056145,      -5.038625941,                         5,      -1.110812701,               5,      -2.692301238,       1064568.017,     0.03425241107,       0.405861285,      0.1589817133,      0.7115625953,    -0.04622209356,    -0.06726811019,     0.02211631891,      0.1589817133,      0.4067031827,       11.84913039,   3.607217913e-05
          0,           0,          28,      -1.352670729,       1.094878177,       1.269935819,       1.382147624,        4.01232919,      -5.069674331,                         5,      -1.124260925,               5,      -2.707614692,       1064568.017,     0.03188477995,       0.417690833,      0.1578933027,      0.7294660298,    -0.04734751782,     -0.1177222139,      0.0193964612,      0.1578933027,      0.4184567462,       13.10000676,   3.647294855e-05
          0,           0,          29,      -1.434784828,        1.06965678,       1.223637774,       1.356457004,       3.935353074,      -5.090609838,                         5,       -1.08527091,               5,      -2.651714072,       1064568.017,     0.02897329441,      0.4266596137,      0.1518321101,      0.7437087381,    -0.04782485708,     -0.1663997617,     0.01621842681,      0.1518321101,      0.4273345766,       14.72596135,   3.686980728e-05
          0,           0,          30,      -1.514296496,       1.043812171,       1.178858439,       1.330743104,       3.854761261,      -5.131075348,                         5,      -1.075629311,               5,      -2.592170043,       1064568.017,     0.02577473425,       0.432731275,      0.1422103859,      0.7547007171,    -0.04812675545,     -0.2074047183,     0.01283996667,      0.1422103859,      0.4333080066,       16.78897135,   3.725811745e-05
          0,           0,          31,       -1.57710819,       1.016498852,       1.137894812,        1.30569021,       3.787544694,      -5.198377691,                         5,        -1.0539804,               5,      -2.516432452,       1064568.017,     0.02274317504,      0.4355287902,        0.12945153,      0.7611061375,     -0.0478861189,     -0.2354901777,    0.009726213474,        0.12945153,      0.4360137382,       19.14986757,   3.762078136e-05
          0,           0,          32,      -1.628775076,      0.9897022326,       1.098580662,       1.279794214,       3.734466505,      -5.274975186,                         5,      -1.023782921,               5,      -2.502518621,       1064568.017,     0.02020410098,      0.4359334337,      0.1150037451,      0.7645515111,     -0.0475607931,     -0.2477294641,    0.007176187501,      0.1150037451,      0.4363423732,       21.57648262,   3.792330506e-05
          0,           0,          33,      -1.681224955,      0.9665288336,       1.058563277,       1.251931408,        3.68473841,      -5.331856252,                         5,     -0.9531510763,               5,      -2.457555457,       1064568.017,     0.01842556198,      0.4345954003,      0.1001144831,      0.7655039196,    -0.04712583824,     -0.2438092217,    0.005438401402,      0.1001144831,      0.4349518216,        23.5865479,   3.816049719e-05
          0,           0,          34,       -1.73319566,      0.9465163581,       1.017633773,       1.221892632,        3.63599366,      -5.364871515,                         5,     -0.9030239759,               5,      -2.434360512,       1064568.017,     0.01752874556,      0.4326669534,     0.08602893087,      0.7659066223,    -0.04700722408,     -0.2260193173,     0.00459957696,     0.08602893087,       0.432997452,       24.68328106,   3.833793841e-05
          0,           0,          35,      -1.775908905,       0.926919729,       0.977393336,        1.19056839,       3.594791977,      -5.393911991,                         5,     -0.8569195693,               5,      -2.426218744,       1064568.017,     0.01751036327,      0.4306428324,     0.07396165411,       0.766265227,    -0.04722727258,     -0.1979212343,    0.004641652073,     0.07396165411,      0.4309736848,       24.59359785,   3.846316179e-05
